# SPT ID	RA	DEC	S/N (95 GHz)	S_raw (95 GHz) [mJy]	S_best (95 GHz) [mJy]	dS_up (95 GHz) [mJy]	dS_down (95 GHz) [mJy]	S/N (150 GHz)	S_raw (150 GHz) [mJy]	S_best (150 GHz) [mJy]	dS_up (150 GHz) [mJy]	dS_down (150 GHz) [mJy]	S/N (220 GHz)	S_raw (220 GHz) [mJy]	S_best (220 GHz) [mJy]	dS_up (220 GHz) [mJy]	dS_down (220 GHz) [mJy]	alpha(95,150)_raw	alpha(95,150)_best	d_alpha(95,150)_up	d_alpha(95,150)_down	alpha(150,220)_raw	alpha(150,220)_best	d_alpha(150,220)_up	d_alpha(150,220)_down	P[alpha(150,220)>1.51]	Type	External catalogs	Extended	Redshift	Cut selection
SPT-SJ000024-4513.5	0.10097266	-45.225319	0.0000000	-2.5497600	0.261125	0.925806	0.0237386	4.6476000	6.3303000	0.403557	3.44210	0.166170	0.0000000	-2.0420000	0.640943	2.54003	0.166170	32.862200	2.28000	4.20000	-0.640000	-43.120300	0.00000	3.04000	-2.12000	0.347007	sync	none	no	none	1,2
SPT-SJ000024-4721.8	0.10193932	-47.364315	4.1112400	9.0341300	8.43461	10.6626	6.10051	5.1187700	6.9168000	6.20660	7.58585	4.72126	3.0198700	14.146100	11.9358	16.6040	6.94927	-0.56038300	-0.680000	0.160000	-1.48000	1.9700100	1.92000	3.12000	0.320000	0.682322	dust	1,5	no	0.0913000	1
SPT-SJ000038-5347.1	0.16188578	-53.785557	0.0000000	-0.21384200	0.816379	2.01373	0.380977	3.2611100	3.1939300	2.99339	3.86419	2.12258	5.0555600	14.513400	10.2864	14.0961	4.62615	31.426700	2.72000	4.28000	0.840000	4.1681300	3.48000	4.48000	1.52000	0.861005	dust	none	no	none	1,2,3
SPT-SJ000056-6049.0	0.23554349	-60.817966	5.3317200	11.280600	10.2794	12.4792	8.07973	4.9730500	6.2910200	5.79541	7.06448	4.52634	0.62923100	2.6348400	3.93411	6.64145	2.41123	-1.2253600	-1.28000	-0.560000	-1.96000	-2.3962700	-1.16000	0.440000	-2.44000	0.0644778	sync	none	no	none	1,2
SPT-SJ000057-4558.2	0.23874497	-45.970314	13.404900	29.146400	28.7456	31.1502	26.5597	11.596200	15.802100	15.6298	16.9413	14.3182	2.8033500	13.129400	11.9136	16.5042	7.76023	-1.2846000	-1.36000	-1.12000	-1.64000	-0.51016800	-0.760000	0.200000	-1.96000	0.00953285	sync	1	no	none	1,2
SPT-SJ000105-4244.7	0.27226672	-42.745876	2.0109700	4.4976500	3.26014	5.66235	1.33837	5.1084500	6.4875200	5.59371	7.03504	4.08375	2.0093100	9.1512700	6.62323	10.5354	3.32877	0.76868400	1.16000	3.12000	-0.200000	0.94720000	0.680000	2.32000	-1.32000	0.382546	sync	none	no	none	1,2
SPT-SJ000137-5945.9	0.40684989	-59.766079	0.38651700	0.79154300	0.727106	2.06946	0.279656	1.3554200	1.2467000	1.95759	2.62877	1.06269	5.5853900	14.915000	8.55748	12.3608	2.85249	0.95323300	1.92000	4.00000	-0.320000	6.8335200	4.24000	4.80000	2.76000	0.926609	dust	none	no	none	1,2,3
SPT-SJ000148-4837.7	0.45383170	-48.628426	0.0000000	-2.6483500	0.399424	1.03850	0.0798847	2.2463400	2.9365300	1.35804	3.27527	0.399424	4.6728400	21.302600	1.35804	9.34652	0.559193	31.250400	2.72000	4.32000	0.320000	5.4561100	1.36000	4.16000	-1.64000	0.515822	sync	none	no	none	1,2
SPT-SJ000154-5043.2	0.47721457	-50.720352	0.71567600	1.5882000	1.20026	2.81373	0.491911	5.1427500	5.2470500	3.79755	5.17490	1.35767	0.37564700	1.1012200	2.34150	4.07302	1.20026	2.5076800	2.20000	4.04000	0.160000	-4.2987100	-1.12000	0.800000	-2.44000	0.122068	sync	1	no	none	1,2
SPT-SJ000158-4612.2	0.49544391	-46.203690	1.3826100	3.0749400	0.396499	1.66529	0.0792998	0.19151700	0.25899100	0.555098	1.34810	0.237899	4.5564600	21.146600	0.872297	1.82389	0.396499	-5.1918700	0.280000	3.36000	-2.04000	12.121600	1.56000	3.96000	-1.16000	0.545908	dust	none	no	none	1,2
